id,text,retweet_count,reply_count,like_count
1465760289886986249,"“Debunking vaccination myths, sharing the messages that matter most and having that information come from trusted community members may be the key to increasing Latino vaccination rates.” https://t.co/zflOxaXGVL",0,0,0
1465760289782128642,"Turkey now has a political party with exactly one policy priority: opposing vaccines. 

And it’s happening in other countries too. @martabiino has the story in the Infodemic newsletter
https://t.co/bAb02mM1xZ",0,0,1
1465760272576962563,"Judge blocks U.S. COVID-19 vaccine rule for health workers in 10 states https://t.co/JfsRqxfEc0 A-HOLES!. AMERICA, THIS PANDEMIC WILL RAGE ON FOREVER!. AS LONG AS MORONS REFUSE TO GET VACCINATED, MANDATES OR NO MANDATES.",0,0,0
1465760263538364420,A vaccine so great that government are now recommending you get 1 every 3 months?,0,0,0
1465760259176165379,"Unfortunately covid pandemic still going on,people 'who think' its over&they mingling crowd/people hugging/holding/standing beside/shaking hands r most unfortunate,they're in high risk to be infected,vaccine cant cure/prevent,if covid virus really enter in any elderly human body",0,0,0
1465760256722616320,"So far my body is reacting to my Pfizer booster shot yesterday much better than it did to my J&J in March. Back then I woke up the next day with a headache and was unusually lethargic all day. 

Today is no headache and just the usual amount of lethargy!",0,2,9
1465760256202612749,"Just realized after booking our boaster shots it will be Moderna, going for the full meal deal cocktail.
AZ
PF
Mod",0,0,0
1465760244450140170,"„Mr Bancel predicted that existing vaccines would be less effective in staving off Omicron, and that it would take months for drugs companies to update vaccines.” interesting weeks ahead @sbancel @moderna_tx @AlbertBourla @pfizer @AstraZeneca @maciejbanach https://t.co/MIW43s2JwY",0,0,0
1465760235465945090,"This Pivotal Moment - Episode 1 https://t.co/J2sTeks7G7 via @YouTube 
Vaccine Passports are a Trojan horse to create a completely new type of controlled and surveilled society in which the freedom we enjoy today will be a distant memory. It's time to stop this plan in its tracks.",0,0,0
1465760235239489536,"BioNTech co-founder Ugur Sahin says vaccine likely to protect against serious illness so “don’t freak out, the plan remains the same: speed up the admin of booster shots” https://t.co/yiWlOu11BJ",1,0,1
