,so,pr,po,sn,eo,pn,en,sr,er
true,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truly,1.5040773967762742,0.0,3.0081547935525483,0.0,0.0,0.0,0.0,0.0,0.0
trump,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trumpster,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
trust,0.0,2.1972245773362196,3.295836866004329,0.0,0.0,0.0,0.0,1.0986122886681098,0.0
try,2.027325540540822,1.2163953243244932,3.243720864865315,0.0,0.4054651081081644,0.8109302162163288,0.0,0.4054651081081644,0.0
tryin,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
tune,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0,0.0,0.0
turvy,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tv,0.0,1.6218604324326575,0.8109302162163288,0.0,0.0,0.8109302162163288,0.0,0.8109302162163288,0.0
twat,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tweet,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0
twice,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
txlege,0.0,1.5040773967762742,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0
tyskysour,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
uganda,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
ui,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
un,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
unable,0.0,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.0
uncertain,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
uncover,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underestimate,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underlying,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
understand,2.1972245773362196,4.394449154672439,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0
underway,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
unemployment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196
